Company Name,Website,City,Address,Company Stage,Company_Stage_Classified,Focus Areas,Focus_Areas_Enhanced,Description,Description_Enhanced,Google_Name,Google_Address,Google_Website,Latitude,Longitude,Confidence_Score,Validation_Source,Classifier_Date
ARS Pharmaceuticals,https://ars-pharma.com/,San Diego,,,Private,Nasal Spray Epinephrine,,,,,,,,,,BPG,2025-11-15
ATUM,https://www.atum.bio/,Newark,"37950 Central Ct, Newark, CA 94560, USA",,Unknown,"Gene Synthesis, Protein Expression and Engineering",,,,ATUM,"37950 Central Ct, Newark, CA 94560, USA",https://www.atum.bio/,37.52061080000001,-122.0384445,0.9999999999999999,BPG,2025-11-15
Aanastra,https://aanastra.com/,Los Angeles,,,Unknown,RNA therapeutics,,,,,,,,,,BPG,2025-11-15
Aardvark Therapeutics,https://aardvarktherapeutics.com/,San Diego,"4370 La Jolla Village Dr Suite 1050, San Diego, CA 92122, USA",,Private,Obesity & Genetic Metabolic Disorders,,,,"Aardvark Therapeutics, Inc","4370 La Jolla Village Dr Suite 1050, San Diego, CA 92122, USA",http://aardvarktherapeutics.com/,32.8740097,-117.2111392,0.9999999999999999,BPG,2025-11-15
Aarvik Therapeutics,https://aarviktx.com/,Hayward,"Hayward, CA 94544, USA",,Private,Antibody-Drug Conjugates,,,,AARVIK THERAPEUTICS,"Hayward, CA 94544, USA",,37.6067209,-122.0521248,0.7999999999999999,BPG,2025-11-15
Aayam Therapeutics,https://aayamtx.com/,San Jose,,,Private,505(b)(2),,,,,,,,,,BPG,2025-11-15
Ab Studio,https://www.antibodystudio.com/,Hayward,"3541 Investment Blvd Suite 3, Hayward, CA 94545, USA",,Unknown,Antibody humanization and optimization service,,,,Ab Studio Inc,"3541 Investment Blvd Suite 3, Hayward, CA 94545, USA",https://www.antibodystudio.com/,37.6251376,-122.120878,0.9999999999999999,BPG,2025-11-15
AbTherx,https://www.abtherx.com/,Mountain View,"319 N Bernardo Ave, Mountain View, CA 94043, USA",,Unknown,Therapeutic Antibody Discovery,,,,AbTherx,"319 N Bernardo Ave, Mountain View, CA 94043, USA",http://abtherx.com/,37.3873687,-122.0488103,0.9999999999999999,BPG,2025-11-15
Abalone Bio,https://www.abalonebio.com/,Emeryville,"1250 45th St Suite 520, Emeryville, CA 94608, USA",,Unknown,Antibody Therapies,,,,"Abalone Bio, Inc","1250 45th St Suite 520, Emeryville, CA 94608, USA",http://www.abalonebio.com/,37.8336542,-122.2848017,0.9999999999999999,BPG,2025-11-15
AbbVie,https://www.abbvie.com/,Irvine,,,Unknown,"Small Molecules, Biologics",,,,,,,,,,BPG,2025-11-15
Abbiotec,https://www.abbiotec.com/,Escondido,"938 S Andreasen Dr Suite I, Escondido, CA 92029, USA",,Unknown,Research Antibodies & Peptides,,,,"Abbiotec, Inc.","938 S Andreasen Dr Suite I, Escondido, CA 92029, USA",https://abbiotec.com/,33.113311,-117.1142081,0.9999999999999999,BPG,2025-11-15
AbboMax,https://www.abbomax.com/,San Jose,"2528 Qume Dr STE 8, San Jose, CA 95131, USA",,Unknown,"Antibody, peptide, and assay product and service provider",,,,Abbomax Inc,"2528 Qume Dr STE 8, San Jose, CA 95131, USA",http://www.abbomax.com/,37.400379,-121.888225,0.9999999999999999,BPG,2025-11-15
Abbott,https://www.abbott.com/,Alameda,"2321 N Loop Rd, Alameda, CA 94502, USA",,Unknown,Diabetes Care,,,,Abbott main office,"2321 N Loop Rd, Alameda, CA 94502, USA",https://www.abbott.com/,37.730565,-122.2469759,0.9466666666666667,BPG,2025-11-15
Abcam,https://www.abcam.com/en-us,Fremont,"860 Auburn Ct, Fremont, CA 94538, USA",,Unknown,Antibodies,,,,Abcam,"860 Auburn Ct, Fremont, CA 94538, USA",https://www.abcam.com/,37.4811923,-121.9298533,0.9999999999999999,BPG,2025-11-15
Abcentra,https://abcentra.com/,Los Angeles,"1925 Century Park E #1700, Los Angeles, CA 90067, USA",,Unknown,Monoclonal Antibodies,,,,Abcentra,"1925 Century Park E #1700, Los Angeles, CA 90067, USA",https://www.abcentra.com/,34.0606064,-118.4144916,0.9999999999999999,BPG,2025-11-15
Abcepta,https://www.abcepta.com/,San Diego,,,Unknown,Biotechnology Antibodies,,,,,,,,,,BPG,2025-11-15
Abeomics,https://www.abeomics.com/,San Diego,"9853 Pacific Heights Blvd Ste. D, San Diego, CA 92121, USA",,Unknown,Contract Research,,,,"Abeomics, Inc.","9853 Pacific Heights Blvd Ste. D, San Diego, CA 92121, USA",http://abeomics.com/,32.8993645,-117.1878792,0.9999999999999999,BPG,2025-11-15
Abilita Therapeutics,https://abilitatx.com/,San Diego,"5785 Oberlin Dr, San Diego, CA 92121, USA",,Private,Method for creating GPCR-targeting antibodies,,,,Abilita Therapeutics,"5785 Oberlin Dr, San Diego, CA 92121, USA",http://www.abilitatx.com/,32.8929647,-117.1935375,0.9999999999999999,BPG,2025-11-15
Abiocode,http://www.abiocode.com/,Agoura Hills,"29397 Agoura Rd, Agoura Hills, CA 91301, USA",,Unknown,Research Antibodies,,,,Abiocode,"29397 Agoura Rd, Agoura Hills, CA 91301, USA",http://www.abiocode.com/,34.144534,-118.765643,0.9999999999999999,BPG,2025-11-15
Abiosciences,https://www.abiosciences.com/,South SF,"280 Utah Ave, South San Francisco, CA 94080, USA",,Unknown,"Single cell sequencing, bioinformatics, AI-aided molecular design",,,,"Abiosciences, Inc","280 Utah Ave, South San Francisco, CA 94080, USA",https://abiosciences.com/,37.6464465,-122.3948255,0.9999999999999999,BPG,2025-11-15
Ablexis,https://www.ablexis.com/,San Diego,"10581 Roselle St, San Diego, CA 92121, USA",,Unknown,"In vivo monoclonal antibody discovery platform, engineered mice",,,,Ablexis,"10581 Roselle St, San Diego, CA 92121, USA",https://www.ablexis.com/contact/,32.8962845,-117.2207397,0.9999999999999999,BPG,2025-11-15
Abram Scientific,https://www.abramscientific.com/,South SF,,,Unknown,Hemostasis Analysis,,,,,,,,,,BPG,2025-11-15
Abterra Biosciences,https://abterrabio.com/,San Diego,"11588 Sorrento Valley Rd # 16, San Diego, CA 92121, USA",,Unknown,Antibody Discovery & Services,,,,Abterra Biosciences,"11588 Sorrento Valley Rd # 16, San Diego, CA 92121, USA",https://abterrabio.com/,32.911824,-117.232986,0.9999999999999999,BPG,2025-11-15
Acadia Pharmaceuticals,https://acadia.com/,San Diego,"12830 El Camino Real #400, San Diego, CA 92130, USA",,Private,Small Molecules,,,,Acadia Pharmaceuticals Inc.,"12830 El Camino Real #400, San Diego, CA 92130, USA",https://acadia.com/,32.950687,-117.2361509,0.9999999999999999,BPG,2025-11-15
Accelagen,https://accelagen.com/,San Diego,"6044 Cornerstone Ct W # C, San Diego, CA 92121, USA",,Unknown,Contract molecular biology work,,,,Accelagen Inc,"6044 Cornerstone Ct W # C, San Diego, CA 92121, USA",,32.8973847,-117.1908292,0.7999999999999999,BPG,2025-11-15
Accelero Biostructures,https://www.accelerobio.com/,San Carlos,,,Unknown,High-throughput protein X-ray crystallography-driven drug discovery and structural biology solutions,,,,,,,,,,BPG,2025-11-15
Acceleron Pharma,http://acceleronpharma.com,,,,Unknown,,,"Acceleron Pharma, Inc.","Acceleron Pharma, Inc.",,,,,,,Wikipedia,
AccendoWave,https://www.accendowave.com/,Poway,,,Unknown,Pain Relief Headband,,,,,,,,,,BPG,2025-11-15
AccuDava,http://accudava.com/,La Jolla,,,Unknown,Diagnostic Kits,,,,,,,,,,BPG,2025-11-15
AccuraGen,https://www.accuragen.com/,San Jose,"2720 Zanker Rd suite 240, San Jose, CA 95134, USA",,Unknown,Liquid Cancer Biopsy,,,,AccuraGen Inc.,"2720 Zanker Rd suite 240, San Jose, CA 95134, USA",http://accuragen.com/,37.3926485,-121.9266447,0.9999999999999999,BPG,2025-11-15
Accuray,https://www.accuray.com/,Sunnyvale,,,Unknown,Directed Radiation Therapy,,,,,,,,,,BPG,2025-11-15
Accurus Biosciences,http://accurusbio.com/web/,Richmond,"2600 Hilltop Dr Building B, Suite C337, Richmond, CA 94806, USA",,Unknown,Cellular & Antibody Services,,,,"Accurus Biosciences, Inc.","2600 Hilltop Dr Building B, Suite C337, Richmond, CA 94806, USA",http://www.accurusbio.com/,37.9833106,-122.3379058,0.9999999999999999,BPG,2025-11-15
Accuryn Medical,https://accuryn.com/,Hayward,,,Unknown,Patient monitoring systems and devices,,,,,,,,,,BPG,2025-11-15
